[orient_sd] processed cells
  - OA22x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OA31x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OA331x1_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - OA331x2_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - OA332x1_ASAP7_75t_R: oriented=18, ambiguous=0, tg_skipped=0
  - OA332x2_ASAP7_75t_R: oriented=18, ambiguous=0, tg_skipped=0
  - OA333x1_ASAP7_75t_R: oriented=20, ambiguous=0, tg_skipped=0
  - OA333x2_ASAP7_75t_R: oriented=20, ambiguous=0, tg_skipped=0
  - OA33x2_ASAP7_75t_R: oriented=14, ambiguous=0, tg_skipped=0
  - OAI211xp5_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI21x1_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OAI21xp33_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OAI21xp5_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OAI221xp5_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OAI222xp33_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - OAI22x1_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI22xp33_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI22xp5_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI311xp33_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OAI31xp33_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI31xp67_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OAI321xp33_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - OAI322xp33_ASAP7_75t_R: oriented=14, ambiguous=0, tg_skipped=0
  - OAI32xp33_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OAI331xp33_ASAP7_75t_R: oriented=14, ambiguous=0, tg_skipped=0
  - OAI332xp33_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - OAI333xp33_ASAP7_75t_R: oriented=18, ambiguous=0, tg_skipped=0
  - OAI33xp33_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - OR2x2_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OR2x4_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OR2x6_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - OR3x1_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OR3x2_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OR3x4_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OR4x1_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OR4x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OR5x1_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - OR5x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - SDFHx1_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFHx2_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFHx3_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFHx4_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFLx1_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFLx2_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFLx3_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - SDFLx4_ASAP7_75t_R: oriented=30, ambiguous=0, tg_skipped=2
  - XNOR2x1_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - XNOR2x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - XNOR2xp5_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - XOR2x1_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - XOR2x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - XOR2xp5_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0

[orient_sd] skipped cells
